,title,artist,rank,date,total_swear,percent_swear
23156,She Had Me At Heads Carolina,Cole Swindell,18,2022-10-08,0.0,0.0
23157,Te Felicito,Shakira & Rauw Alejandro,81,2022-07-02,0.0,0.0
23158,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,50,2022-06-18,28.0,0.04697986577181208
23159,F.N.F. (Let's Go),Hitkidd & GloRilla,42,2022-09-24,31.0,0.06739130434782609
23160,7500 OBO,Tim McGraw,73,2022-07-16,1.0,0.0021413276231263384
23161,When I'm Alone,Post Malone,97,2022-06-18,1.0,0.0029585798816568047
23162,Last Night Lonely,Jon Pardi,27,2022-09-10,0.0,0.0
23163,True Love,Kanye West & XXXTENTACION,69,2022-06-18,0.0,0.0
23164,Lemon Tree,Post Malone,53,2022-06-18,2.0,0.006369426751592357
23165,Reputation,Post Malone,54,2022-06-18,7.0,0.02258064516129032
23166,Wasting Angels,Post Malone Featuring The Kid LAROI,56,2022-06-18,0.0,0.0
23167,Potion,"Calvin Harris, Dua Lipa & Young Thug",87,2022-06-18,3.0,0.008021390374331552
23168,Insane,Post Malone,62,2022-06-18,8.0,0.01909307875894988
23169,Sunroof,Nicky Youre & dazy,4,2022-09-24,0.0,0.0
23170,Massive,Drake,14,2022-07-02,0.0,0.0
23171,Flight's Booked,Drake,28,2022-07-02,0.0,0.0
23172,Break My Soul,Beyonce,1,2022-08-13,2.0,0.002583979328165375
23173,Calling My Name,Drake,20,2022-07-02,4.0,0.025
23174,A Keeper,Drake,21,2022-07-02,1.0,0.0030211480362537764
23175,Overdrive,Drake,42,2022-07-02,0.0,0.0
23176,Liability,Drake,47,2022-07-02,2.0,0.004640371229698376
23177,The Kind Of Love We Make,Luke Combs,9,2022-10-22,0.0,0.0
23178,Sticky,Drake,6,2022-07-02,6.0,0.011904761904761904
23179,Glimpse Of Us,Joji,8,2022-07-02,0.0,0.0
23180,Falling Back,Drake,7,2022-07-02,0.0,0.0
23181,Texts Go Green,Drake,13,2022-07-02,0.0,0.0
23182,Currents,Drake,23,2022-07-02,0.0,0.0
23183,Jimmy Cooks,Drake Featuring 21 Savage,1,2022-07-02,28.0,0.038303693570451436
23184,5 Foot 9,Tyler Hubbard,22,2022-10-08,0.0,0.0
23185,New Truck,Dylan Scott,66,2022-08-13,0.0,0.0
23186,Down Hill,Drake,62,2022-07-02,0.0,0.0
23187,Rock And A Hard Place,Bailey Zimmerman,11,2023-04-22,8.0,0.02857142857142857
23188,I Ain't Worried,OneRepublic,6,2022-10-22,0.0,0.0
23189,Love Me More,Sam Smith,73,2022-07-30,0.0,0.0
23190,Wild As Her,Corey Kent,40,2023-05-20,0.0,0.0
23191,Tie That Binds,Drake,66,2022-07-02,0.0,0.0
23192,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",73,2022-07-02,23.0,0.020833333333333332
23193,Yet To Come,BTS,68,2022-07-02,0.0,0.0
23194,Master Of Puppets,Metallica,40,2022-07-16,1.0,0.002638522427440633
23195,Left And Right,Charlie Puth Featuring Jung Kook,40,2022-08-27,0.0,0.0
23196,Until I Found You,Stephen Sanchez,27,2023-03-11,0.0,0.0
23197,Numb,Marshmello & Khalid,43,2022-09-24,0.0,0.0
23198,Unstoppable,Sia,28,2022-10-22,0.0,0.0
23199,Country On,Luke Bryan,72,2022-10-22,2.0,0.006134969325153374
23200,Best Thing Since Backroads,Jake Owen,83,2022-07-30,3.0,0.008849557522123894
23201,Rich Minion,Yeat,99,2022-07-16,0.0,0.0
23202,Son Of A Sinner,Jelly Roll,31,2022-10-08,0.0,0.0
23203,Bad Habit,Steve Lacy,1,2022-10-08,2.0,0.004273504273504274
23204,Wishful Drinking,Ingrid Andress With Sam Hunt,47,2022-10-22,0.0,0.0
23205,Good Love,City Girls & Usher,70,2022-07-16,13.0,0.018571428571428572
23206,All Mine,Brent Faiyaz,62,2022-10-22,5.0,0.008992805755395683
23207,Free Mind,Tems,50,2022-10-08,0.0,0.0
23208,Betty (Get Money),Yung Gravy,30,2022-09-24,3.0,0.006607929515418502
23209,See Wat I'm Sayin,Moneybagg Yo,77,2022-07-30,19.0,0.026912181303116147
23210,Last Last,Burna Boy,48,2022-10-22,0.0,0.0
23211,Pick Me Up,Gabby Barrett,55,2023-01-28,0.0,0.0
23212,Truth About You,Mitchell Tenpenny,55,2022-09-24,0.0,0.0
23213,2 Be Loved (Am I Ready),Lizzo,55,2022-10-22,4.0,0.006369426751592357
23214,All Up In Your Mind,Beyonce,70,2022-08-13,1.0,0.0017730496453900709
23215,Pure/Honey,Beyonce,64,2022-08-13,70.0,0.08484848484848485
23216,Dah Dah DahDah,Nardo Wick,54,2022-09-10,16.0,0.035398230088495575
23217,Thique,Beyonce,53,2022-08-13,16.0,0.027303754266211604
23218,Victoria's Secret,Jax,35,2022-10-22,0.0,0.0
23219,With A Woman You Love,Justin Moore,64,2022-09-10,1.0,0.0035971223021582736
23220,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,79,2022-10-22,0.0,0.0
23221,Cuff It,Beyonce,9,2023-02-25,0.0,0.0
23222,Church Girl,Beyonce,22,2022-08-13,6.0,0.007211538461538462
23223,Alien Superstar,Beyonce,19,2022-08-13,3.0,0.0058823529411764705
23224,Summer Renaissance,Beyonce,47,2022-08-13,6.0,0.010273972602739725
23225,Virgo's Groove,Beyonce,43,2022-08-13,1.0,0.0012121212121212121
23226,Plastic Off The Sofa,Beyonce,41,2022-08-13,0.0,0.0
23227,Heated,Beyonce,51,2022-08-13,9.0,0.010192525481313703
23228,I'm That Girl,Beyonce,26,2022-08-13,15.0,0.02384737678855326
23229,Cozy,Beyonce,30,2022-08-13,13.0,0.02631578947368421
23230,Alone,Rod Wave,21,2022-08-27,2.0,0.005063291139240506
23231,Never Get Over Me,Rod Wave,48,2022-08-27,3.0,0.010273972602739725
23232,Bad Decisions,"benny blanco, BTS & Snoop Dogg",57,2022-08-27,1.0,0.002288329519450801
23233,Pieces,Rod Wave,86,2022-08-27,5.0,0.010869565217391304
23234,Rockstar Heart,Rod Wave,90,2022-08-27,10.0,0.02493765586034913
23235,Fading,Rod Wave,96,2022-08-27,4.0,0.015503875968992248
23236,Time Kills (Love Birds),Rod Wave,95,2022-08-27,8.0,0.025974025974025976
23237,Sweet Little Lies,Rod Wave,51,2022-08-27,3.0,0.010101010101010102
23238,Ungrateful,Megan Thee Stallion Featuring Key Glock,82,2022-08-27,98.0,0.12844036697247707
23239,Despecha,Rosalia,64,2022-10-08,2.0,0.006172839506172839
23240,Pressurelicious,Megan Thee Stallion Featuring Future,80,2022-08-27,26.0,0.035326086956521736
23241,Budget,Megan Thee Stallion Featuring Latto,87,2022-08-27,37.0,0.04247990815154994
23242,No Deal,Rod Wave,71,2022-08-27,17.0,0.03130755064456722
23243,Stone Rolling,Rod Wave,66,2022-08-27,4.0,0.008948545861297539
