,title,artist,rank,total_swear,percent_swear
948,Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),37,0,0.0
949,Baby I,Ariana Grande,21,0,0.0
950,Baby I Lied,Deborah Allen,26,0,0.0
951,Baby I Love U,Jennifer Lopez,72,3,0.009036144578313253
952,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,6,0,0.0
953,Baby I'm Back,Baby Bash Featuring Akon,19,0,0.0
954,Baby I'm For Real/Natural High,After 7,55,0,0.0
955,Baby I'm Yours,Shai,10,0,0.0
956,Baby It's Cold Outside,Dean Martin,45,0,0.0
957,Baby It's You,JoJo Featuring Bow Wow,23,0,0.0
958,Baby It's You,The Beatles,79,0,0.0
959,Baby Jane,Rod Stewart,15,0,0.0
960,Baby Love,Regina,10,0,0.0
961,Baby Luv,Groove Theory,65,0,0.0
962,Baby Makes Her Blue Jeans Talk,Dr. Hook,25,0,0.0
963,Baby Mama,Fantasia,60,1,0.0058823529411764705
964,Baby Nueva,Bad Bunny,74,0,0.0
965,Baby Pluto,Lil Uzi Vert,27,23,0.04609218436873747
966,Baby Shark,Pinkfong,36,0,0.0
967,Baby Sitter,DaBaby Featuring Offset,64,25,0.06648936170212766
968,Baby Step Back,Gordon Lightfoot,50,0,0.0
969,Baby Talk,Alisha,68,0,0.0
970,Baby Talks Dirty,The Knack,39,0,0.0
971,Baby U Are,Gerald Levert,89,0,0.0
972,Baby You Know,The O'Jays,76,0,0.0
973,Baby's Coming Back,Jellyfish,62,0,0.0
974,"Baby, Come Over (This Is Our Night)",Samantha Mumba,50,0,0.0
975,"Baby, Come To Me",Patti Austin A Duet With James Ingram,1,0,0.0
976,"Baby, I Believe In You",George LaMond,66,0,0.0
977,"Baby, I Love Your Way/Freebird Medley",Will To Power,1,0,0.0
978,"Baby, I'm Jealous",Bebe Rexha Featuring Doja Cat,58,2,0.00966183574879227
979,"Baby, It's Cold Outside",Glee Cast,99,0,0.0
980,"Baby, It's Tonight",Jude Cole,16,0,0.0
981,"Baby, What About You",Crystal Gayle,83,0,0.0
982,Baby-Baby-Baby,TLC,2,0,0.0
983,Babylon,David Gray,57,0,0.0
984,Back & Forth,Aaliyah,6,0,0.0
985,Back 2 Good,matchbox 20,26,1,0.007692307692307693
986,Back And Forth,Cameo,54,0,0.0
987,Back At It,Gunna,51,7,0.021341463414634148
988,Back At One,Brian McKnight,2,0,0.0
989,Back At One,Mark Wills,36,0,0.0
990,Back End,Finesse2Tymes,89,27,0.07917888563049853
991,Back For Good,Take That,7,0,0.0
992,Back Here,BBMak,13,0,0.0
993,Back In Black,AC/DC,37,0,0.0
994,Back In Blood,Pooh Shiesty Featuring Lil Durk,13,27,0.06398104265402843
995,Back In Stride,Maze Featuring Frankie Beverly,89,0,0.0
996,Back In The Day,Ahmad,26,0,0.0
997,Back In The High Life Again,Steve Winwood,13,0,0.0
998,Back In Time,Pitbull,11,0,0.0
999,Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,92,2,0.0060790273556231
1000,Back Like That,Ghostface Killah Featuring Ne-Yo,61,6,0.013793103448275862
1001,Back Of My Hand (I've Got Your Number),The Jags,84,0,0.0
1002,Back On Holiday,Robbie Nevil,38,0,0.0
1003,Back On My Feet Again,The Babys,34,0,0.0
1004,Back On The Chain Gang,Pretenders,5,1,0.009615384615384616
1005,Back Seat (Of My Jeep),LL Cool J,47,1,0.002702702702702703
1006,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,19,0,0.0
1007,Back Then,Mike Jones,22,9,0.022443890274314215
1008,Back To Back,Drake,21,8,0.03137254901960784
1009,Back To Black,Glee Cast,82,0,0.0
1010,Back To December,Taylor Swift,18,0,0.0
1011,Back To December (Taylor's Version),Taylor Swift,76,0,0.0
1012,Back To Life,Soul II Soul,4,0,0.0
1013,Back To School Again,Four Tops,72,0,0.0
1014,Back To Sleep,Chris Brown,20,13,0.03324808184143223
1015,Back To The 60's,Tight Fit,89,0,0.0
1016,Back To The Bullet,Saraya,63,0,0.0
1017,Back To The Hotel,N2Deep,14,3,0.011194029850746268
1018,Back To The Moon,Gunna,29,9,0.025423728813559324
1019,Back To The Streets,Saweetie Featuring Jhene Aiko,58,8,0.024615384615384615
1020,Back To The World,Tevin Campbell,48,0,0.0
1021,Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,56,3,0.018867924528301886
1022,Back To You,Selena Gomez,18,0,0.0
1023,Back Together Again,Roberta Flack With Donny Hathaway,56,0,0.0
1024,Back Up,DeJ Loaf Featuring Big Sean,47,40,0.09925558312655088
1025,Back Up Off Me!,Doctor Dre & Ed Lover,85,1,0.0021645021645021645
1026,Back When,Tim McGraw,30,0,0.0
1027,Back When I Knew It All,Montgomery Gentry,56,0,0.0
1028,BackOutsideBoyz,Drake,9,18,0.0594059405940594
1029,Backdoor,Lil Durk,74,8,0.030534351145038167
1030,Backfired,Debbie Harry,43,0,0.0
1031,Backin' It Up,Pardison Fontaine Featuring Cardi B,40,24,0.07476635514018691
1032,Backroad Song,Granger Smith,55,0,0.0
1033,Backwater,Meat Puppets,47,0,0.0
1034,Backwoods,Justin Moore,72,0,0.0
1035,Backyard Boogie,Mack 10,37,2,0.006389776357827476
1036,Bad,Wale Featuring Tiara Thomas Or Rihanna,23,0,0.0
1037,Bad And Boujee,Migos Featuring Lil Uzi Vert,1,32,0.0427807486631016
1038,Bad Ass,Kid Ink Featuring Meek Mill & Wale,90,38,0.07739307535641547
1039,Bad At Love,Halsey,6,1,0.004608294930875576
1040,Bad Bad Bad,Young Thug Featuring Lil Baby,32,14,0.04093567251461988
1041,Bad Bad Boys,Midi Maxi & Efti,98,0,0.0
1042,Bad Bitch From Tokyo (Intro),Pop Smoke,55,1,0.014084507042253521
